KEY,ITEM,LOCATION
6740,6190,651
6741,,652
6742,5325,653
6743,5939,654
6744,,655
6745,,656
6746,,657
6747,5327,658
6748,4806,659
6749,6226,660
6750,5435,661
6751,,662
6752,6059,663
6753,6191,824
6754,,825
6755,5712,826
6756,,827
6757,,828
6758,5733,829
6759,5514,830
6760,5515,831
6761,5915,842
6762,4838,843
6763,6148,844
6764,,845
6765,,846
6766,5432,847
6767,6146,848
6768,5954,849
6769,5499,850
6770,,851
6771,6036,852
6772,6013,853
6773,5325,854
6774,6147,855
6775,5544,856
6776,6106,857
6777,6207,858
6778,,859
6779,6170,860
6780,6156,861
6781,5447,862
6782,6042,863
6783,,864
6784,,865
6785,6239,866
6786,,867
6787,,868
6788,4773,869
6789,6129,870
6790,5521,871
6791,6199,872
6792,4805,873
6793,5323,874
6794,,875
6795,4787,876
6796,,877
6797,5949,878
6798,5538,879
6799,6240,880
6800,6044,881
6801,,882
6802,5508,883
6803,5441,884
6804,,885
6805,4800,886
6806,,887
6807,4769,888
6808,4776,889
6809,5943,890
6810,5726,891
6811,,892
6812,5923,893
6813,5505,894
6814,6130,895
6815,,896
6816,5368,897
6817,6135,898
6818,,899
6819,,900
6820,4804,901
6821,5922,902
6822,5436,903
6823,,904
6824,,905
6825,,906
6826,,907
6827,5507,908
6828,5368,909
6829,6161,910
6830,,911
6831,5431,912
6832,,913
6833,,914
6834,5508,915
6835,,916
6836,,917
6837,4822,918
6838,6144,919
6839,,920
6840,6124,921
6841,6038,922
6842,5970,923
6843,5995,924
6844,5948,925
6845,,926
6846,6252,927
6847,5569,928
6848,,929
6849,4761,930
6850,6166,931
6851,,932
6852,,933
6853,,934
6854,6245,935
6855,,936
6856,,937
6857,,938
6858,4826,939
6859,5511,940
6860,,941
6861,6077,942
6862,6186,943
6863,5938,944
6864,5942,945
6865,5430,946
6866,6044,947
6867,5448,948
6868,,949
6869,5568,950
6870,,951
6871,4843,952
6872,,953
6873,,954
6874,6040,955
6875,5983,956
6876,,957
6877,,958
6878,4823,959
6879,,960
6880,6244,961
6881,5732,962
6882,,963
6883,6048,964
6884,6206,965
6885,5845,966
6886,6069,967
6887,6044,968
6888,6020,969
6889,4834,970
6890,5436,971
6891,5976,972
6892,,973
6893,,974
6894,,975
6895,,976
6896,5568,977
6897,6185,978
6898,,979
6899,,980
6900,,981
