Location_Name,Type,Category,Mission,State,State_Hint,Location_ID
Challenge to the Informant #6,Akame Trial,14,72,3,2,795
Chase Off the Nuisances,Akame Combat,14,39,5,3,796
"Score a 90 on ""Baka Mitai""!",Akame Trial,14,81,5,3,797
"Score a 90 on ""Hands""!",Akame Trial,14,82,5,3,798
"Score a 90 on ""Like a Butterfly""!",Akame Trial,14,83,5,3,799
Solve the Mysterious Note,Akame Trial,14,92,4,3,800
Itching for Ichiban Senbei,Akame Fetch,14,93,4,3,801
Eight Golf Bingos!,Akame Trial,14,79,5,3,802
My Friend Needs to Understand,Akame Outfit,14,66,4,3,803
Bring a Smile to My Soulless Face,Akame Outfit,14,65,4,3,804
Please Photograph Fukupi-chan,Akame Photo,14,26,6,3,805
Fukupi-chan Or Bust,Akame Trial,14,91,5,3,806
